reviewerName,reviewText,overall,verified,reviewTime
Amazon Customer,Pretty cool gadget that sure saves space in my purse! I love the design--simple--and the pen writes nice and smooth.,5,True,"11 13, 2013"
L. M. Mccarthy,Greater sticking ability for outdoor use and especially on areas in the garage where things get greasy and need to be wiped off.,5,True,"03 31, 2014"
Ramzi Ari,Case is a perfect size for my Seagate Expansion 2TB Portable External Hard Drive USB 3.0 (STEA2000400).,5,True,"06 5, 2017"
Kev C.,Broke Easily,1,True,"06 5, 2017"
Scarlett Minton,My granddaughter loved the case and it was so pretty and fit like a glove. Thanks.,5,True,"02 28, 2018"
JustSomeGuy,Works great,5,True,"12 5, 2014"
yassir,not too bad,3,True,"01 1, 2015"
Nevermindme,"Overall, this is a decent card but, it's not truly a single slot card. It's more like 1&1/2 (or simply 2) slot width. For most applications, not a problem. But, if your pci express slot is on the opposite side of most slots (with fan/heatsink faced upwards instead of hanging down) and that slot is right up against the top of your case...problems may arise.
  I solved my issues with some creativity and took it as a decent lesson in paying closer attention to the description, photos and reviews.
The other issue I have with the card is a barely noticeable, constant cricket noise coming off the fan. In most applications it probably would not be heard at all. (The card is basically unobstructed to the air at the top of my case)

  As for performance; it's pretty darn good. The hd radeon 6570 this card replaced had a hard time handling Borderlands 2 when things got crazy, and simply crashed when attempting to handle Skyrim. This GT 730 handles both just fine; except some rare moments in Borderlands 2 when the card is seriously pushed; which could simply be my aging computer rig (I also have the graphics set more towards quality rather than performance). So for me, this is a stop gap solution until I build a new rig. But as stop gaps go, it's pretty excellent.",3,True,"04 27, 2015"
Evan M.,"Works great! I bought this to connect a 5th monitor to my Windows 10 PC. I was a little skeptical for this to work, but I'm really glad I bought it!

 I thought I had maxed out my displays (using 2 DP's and 2 DVI's from the graphics card). I installed the software and drivers and it worked within a couple minutes. It includes DVI adapters to VGA and HDMI which is a nice bonus.",5,True,"07 19, 2016"
Amazon Customer,"Just to save other people the hassle I'm going through with finding a backup battery:
The owner's manual says this requires battery # DMW-BCM13PP  *but* I contacted tech support and they recommend you instead get the BCM13 (without the ""PP"" at the end).... so it's the same battery you can use for the TS5 and TS5A.

The camera comes with one battery and one external charger (but NOT either a car or Euro adapter).",4,True,"08 5, 2015"
Edwin,Work very good....Thank You....!!!!!!!,5,True,"08 17, 2015"
Muffy,I needed to save an old but very good DVD reader/writer.  This was the only enclosure I could find.  I have used their products before and have been very happy with them.  This enclosure is very good.,5,True,"06 5, 2017"
Shenique Arline,If you are someone who does YouTube or any filming from home this is amazing no more batteries dying on you in the middle of filming... I also use my camera at home so I never have batteries charged this is like my holy grail while filming videos.. I don't have problems with it over heating my camera works very well I love this..,5,True,"12 11, 2016"
VR Kid,10/10 product,5,True,"10 25, 2016"
Customer5390,"I've been using these HD for years. They are very reliable and have almost no noise whatsoever.

I use them with a USB3.0 dock connected to my TV. Great way to store movies, tv series and others and watch it on your TV.",5,True,"09 24, 2014"
Mark,"This is a really great wide field eyepiece. The first time I looked through it my statement was ""WOW, it's full of STARS!"". A good wide field eyepiece can give you stunning and inspiring views. Being 82 degrees the field of view is huge! It's sealed and argon filled making resistant to fogging and dust intrusion. That is a very nice feature. This eyepiece should give many years of trouble free use. At about $300 it's really a bargain for the quality you get. Both the look and feel of it shout quality. It's basically a copy of the much revered, loved, and expensive Televue Nagler 31mm design. The Nagler is considered by many to be the best eyepiece there is in this type of focal length. I would agree with that statement but this eyepiece is REALLY good and less than 1/2 the cost. I'll be quite happy with this Explore Scientific eyepiece until some really nice person gives me a $650 Nagler.  If you need a good wide field eyepiece this one deserves your consideration.",5,False,"03 17, 2017"
Mark Greer,Get this one not the cheaper one - this one charges MUCH faster !,5,True,"02 4, 2015"
S.,Both stopped working less than 35 days after purchase.  Waste if money.,1,True,"08 12, 2018"
Molly McCoy,Don't waste your money on anything else.,5,True,"08 22, 2015"
Kilgore Trout,"For those of us who are buying multiple external drives for, er, migrating our video DVDs collections to our computers, these are fantastic! I am using two on an external (powered) usb hub and plan to get a couple more. It's well worth the cost to speed up the process from one-disc-at-a-time slowness. One caveat, each drive does require a full-power usb port, so a powered usb hub is a necessity.",5,True,"12 6, 2010"
Startwolf,"My son use it for his HTC tablet, basically so easy to control not even need read manual to setup. Now the price if you have HTC products can use it.",4,True,"12 23, 2013"
aczn,"BUYERS, BE AWARE.
I had 2 DVD players made by Pioneer. They are nice machines... for a little over a year. Then the warranty expires. The problem these players seem to have has to do with poorly designed dual laser pick up (one - for DVDs, the other one - for CDs and Video CDs). The first player I had stopped playing CDs and Video CDs, I got the other one - this one stopped playing DVDs.
On the positive side - the picture is very good, so if you are after a short-term buy go ahead, otherwise look for another brand.",1,True,"10 17, 2002"
Laz,"Works flawlessly, have 10 usb connections, external Harddrives, dvd, printer",5,True,"09 7, 2015"
Sheepfreak,It's a pretty case.,4,True,"01 18, 2018"
Felicia,I bought this for my son's dorm room and he loves it. I really like the usb ports...that was the reason I bought this charger for him. My son loses the iphone charger base all the time so I figured this was a good replacement for that.,5,True,"08 25, 2014"
Paul Schwan,"After reading many of the earlier reviews I took the plunge and purchased the Canon VIXIA HF200 flash memory camcorder. I upgraded from a Canon mini-DV camcorder because I had purchased my first HDTV from Amazon last Christmas. Of course, I needed an HD camcorder with my new HD television!

I use a Sonnet 21-in-1 multimedia reader&writer Express Card/34 and pop the SD card in to transfer the video clips to my MacBook Pro. Using iMovie '09, this works great. iMovie '09 recognizes it without flaw, and with this software I can choose the clips I want to download from the SD card to my laptop. I use iMovie '09 to organize my videos, and I make the initial selections of clips that I want in each project using iMovie '09. Then, I export to Apple's Intermediate Codec and open this export file in iMovie HD. I prefer the timeline in Apple's older version of iMovie. I also purchased Final Cut Express 4, but haven't cracked that product yet, as it's much more complicated than what I'm used to in iMovie. So, for now, I'm bringing video clips in with the latest version of iMovie, then downconverting and editing in iMovie HD; this works great. I'll eventually learn Final Cut Express and move forward in my video editing hobby. I share all of this because I didn't realize until I read in David Pogue's Missing Manual book (iMovie '09 and iDVD) that I could still use iMovie HD with a flash memory video camera and the AVCHD codec. I'm glad to have discovered this.

As others have said, getting AVCHD encoded video clips into a computer takes LONGER than real-time because of the converting that must take place. My mode of operation with a Canon mini-DV camcorder was to fill a 60-minute tape, then transfer it to the laptop when convenient. I would get it started and come back 60 minutes later to 60-minutes of video ready to edit. Now, I come back 90 minutes later instead. Transfer seems to take about 1.5 times the length of the clips, give or take. For me, this is not a problem when I use my usual transfer and edit process.

If you're looking for instantaneous transfer of files in useable form, though, flash memory won't give it to you -- at least with this camera. Others have stated, and I found directions in David Pogue's book stating that it's possible to transfer the files to the computer's hard drive for LATER conversion to useable form for editing. I haven't done this yet, and I would be nervous about deleting the clips from my flash memory card until I had them converted, could see them, and had them backed up on another hard drive. That's when I clear the flash card and re-use it for new video clips. I've had too many lost data situations in the past and I guess I'm a bit overly cautious when I have once-in-a-lifetime video that I don't want to lose. I believe in multiple copies of precious data, video data included. I get around this limitation by having two 16 Gb flash memory cards which, in best mode on this camera, gives me about 1.5 hours of video per card. I have yet to fill one before transferring video.

I also have multiple firewire and/or USB hard drives which I use for backing up video. If I take a long trip I'll just buy a handful of SD chips, along with the two batteries I already own, and shoot away. Each evening it's my practice to download to hard drive anyway, back that up to an external drive, and this seems to work for most situations. It's less expensive to do this with mini-DV tapes (which provide one backup source), but when precious video is involved I don't mind paying for a few extra 16 Gb chips. They're pretty inexpensive on Amazon.com.

I recommend this camera if your habits fit mine, or if you're looking for great-looking video on an HDTV. I have a lot to learn about this camera to get the most out of it, including the editing process. It will serve me for many years to come, as did my Canon mini-DV standard-definition camera.

APRIL 10, 2010 UPDATE:
I've received many nice comments and questions via Amazon, so many that I decided it might be helpful to create a video to show how I move video from a memory chip to my MacBook Pro laptop. If you're a Mac user you might find this helpful. I use iMovie 9 and this tutorial explains the process using that software.

Video (be sure to click on the full screen button): [...]",5,True,"05 30, 2009"
J. K. Tappe,"I bought a pair of these in advance of a 10,000-mile round trip vacation that involved 8 airline flights.  As a seasoned traveller, I'm all too well versed in trying to crank up a walkman, computer, or other audio device to try to drown out the noise of the engines, other passengers, beverage carts, etc.  And if you crank up a conventional set of headphones, you end up with ringing ears and temporary hearing loss after such prolonged abuse of your eardrums.
Enter these in-ear ""bud style"" headphones.  They block environmental noise like earplugs and then send their output into the now quieted environs of your ear canal.  This lets you not only use a lower volume setting on your device but the sound you hear is much less cluttered.  I'm writing this review to say they work every bit as well as I'd hoped when I bought them.  The aircraft noise was muted to a distant hum and I was able to hear every guitar string of the songs I listened to and every footstep in the movies I played on my PowerBook.  There were literally times when I found myself looking around the airplane cabin for a strange noise I'd heard, only to figure out it was a sound effect in the film I was playing.  I'm serious--the sound was that good!
Even when my batteries ran out, I kept these headphones in my ears as earplugs as I read a book.  Many headphones cause pain after prolonged use; they cut off blood circulation or simply induce pressure which can lead to headaches or earaches until they are removed.  Not these.  They come with three different size rubber cups that you can try to find which one fits you best. And because they are rubber, not foam, they are easy to clean and also do not require any ""pre-squishing"" like other products.
In quick response to a previous reviewer who claimed these had no bass, that is the result of improper use.  These cannot be ""set"" in your outer ear like conventional mini headphones--they must be pushed into your ear canal so they can create a seal.  Think of them as earplugs, not headphones.  Once you put them in properly, the bass response is quite astounding.
The only possible downside (if you can call it that) to these headphones is their size--they're so small they are easy to lose when not in use.  I did misplace mine for a few months and was ready to buy another set before the originals were found.  I never even considered a diffferent product I was so pleased with these.  I've wholeheartedly recommended them to all my friends and will continue to do so.",5,False,"01 13, 2004"
Gregory S,Very good!,5,True,"10 11, 2016"
Tran,"Just works!! I got 3 charge to my iphone (going from 40% to 90%) in about 1 hours and that just barely put a dent in the capacity. Still got 3 dots (75%-50%) left. It takes a long time to charge it,around 14hr. The light is useful too.

Recommend it for those that cant keep their phone charge through the normal work day.",5,True,"04 21, 2014"
Denny,"In fact it was not NEW, as I told amazon the packaging was not proper for 1, for 2 a new spool is not wrapped in loose plastic wrap.  That brand in question comes with a tight plastic shrink wrap around the spool and or tight clear tape.  For 3 the spool was also loose and unraveled partially. For 4 the wire had been cut on both sides and one side was cut a small bit shorter,  for 5 the shielding on the other wire was removed about 1/2 inch and the wire appears to have been twisted by hand. And for 6 the spool looks to have been drop kicked more than one time and is not round at all!  And for 7 the cr&egrave;me fresh topping THE WIRE IS A FEW FEET SHORT! I have purchased C&E before and they are always on the dot with there labeled footage! THANK YOU VERY MUCH!!! And one more thing the seller had the audacity to ask what was wrong with my order of new wire! BEWARE of PANDABOOKS1978, price was too good to be true apparently!",1,True,"02 11, 2014"
Antonina Yunita Dewi Suryantari,I still don't know how to use that big thing. The smaller parts work great. I can just put the micro SD card to the adapters and I can use it in different devices. It's just awesome :),5,True,"06 4, 2013"
Jhonatan Maury,"Sometimes works, sometines do nothing",2,True,"02 3, 2015"
2Hyper,I use this in connection with a Garmin NUVI cradle to hold my Garmin NUVI GPS on the handle bars of my cycle. This mount is low profile so it doesn't look strange sticking up. It is high strength plastic and has held my GPS for over a year 4000 plus miles or riding! Excellent option...,5,True,"03 15, 2012"
Bruce and Alina in Miami,"I tried this to split two digital audio output's to one digital audio input, (only will have one output device turned on at a time). This doesn't work in this capacity.",3,True,"11 30, 2009"
Jose,"they work well, music sounds good, people cant even tell when i talk to them using the mic option during phone calls",5,True,"08 21, 2015"
Buddy C.,"I was blown away at how easy and versatile this DVD player is.  I've been able to rip my entire DVD collection to avi's, save them to a single 500GB external drive, and watch them whenever I want on the 5960 without even getting off the couch.  This is also great for upscaling, but you have to use HDMI.  My only complaint is the remote has to point directly at the IR on the unit.  It seems to be an issue with the remote, because my Harmony remote works just fine with it.  I will be buying one of these for every TV in my house at this price!",5,True,"11 7, 2007"
Jimme,"Read the entire review for the reasons I gave only 3 stars rather than 5. I got a taste for ChromeOS by installing CloudReady on an old laptop and decided to jump in the pool and buy a real Chromebook. I'll always be skeptical and paranoid as to what happens with my data in the cloud with Google but I just won't store anything online that would embarrass my Grandmother.

The back-lit keyboard is a feature that lead me to the Toshiba over other Chromebooks. I am not a typist and have to look at the keyboard so the back-lit keys are an important feature for me. Also, the overall appearance, 1080p display and Intel i3 processor are features that appealed to me. Unfortunately after I bought it I have found there is no DEL key nor a Caps Lock key. Being a Windows user I also miss the Home/End keys as well. So far that is the only negative aspect about the Chromebook I have found so far.

It was extremely easy to set up. Since I work in IT, I know getting Windows up and running can be time consuming and I have no experience buying a WinTel box from retail. In my experience the Chromebook was a pleasure to get up and running. Since I had tried CloudReady my Google account was set up and made logging in to the Chromebook a breeze. There was no prompt for Anti virus software, no prompt for system updates, the Chromebook was ready to use in about 5 minutes.

With very few exceptions all my computing is done on the Internet. If I have no Internet access I have no reason to use a computer. That said, the Internet connection speed is directly related to the online experience of the Chromebook as it is with the other operating systems. At the office this morning the 20/40 Mbs down/up speed was joyous. By the middle afternoon the connection dogged down to 5/2 Mbs down/up and this was reflected in the Chromebook's performance; not as joyous. At home I get 15/1 Mbs down/up using DSL and the Chrombook's performance was just shy of stellar. For me personally, I like to have a minimum of 10/1 Mbs down/up for online activity.

The IPS screen is fantastic! At 1080p the video appearance is on par with a good TV; Images are crystal clear. I've had this for a over a month now and am still being impressed with this small workhorse. When a website displays slowly on my WinTel box, I switch to the Chromebook and it easily outperforms the web page display speed. It seems to be at least twice as fast.

When the Toshiba Chromebook is opened, it turns on. Doh! Brilliant idea and implementation. I agree that when I open my Chromebook I intend to power it on so why not have it turn on when the cover is opened?  Another item of note is that the power brick runs only mildly warm. This is the only power brick I have encountered that does not heat up beyond just warm to the touch. The laptop can rest securely on my legs at up to at least about a 30 degree angle and not slip. This is due to the rough plastic bottom of the case. Every laptop should have a rough bottom so they stay put.

The browsing experience, saving to the SSD and video streaming are smooth and fast! From past experience with Intel's Atom processor I went big and got the Intel i3 for the quickest performance possible and I am very happy with that decision. Other reviews have stated the i3 may not be worth the extra $100 but I wanted to be sure I got the fastest performance possible.

From 5 stars down to three. OK, so there are some downsides. Mostly the Track pad because it feels rough to the touch and after five minutes of swiping my finger it begins to feel a little numb. After a couple of months I have to say I think the track pad is by far the worst I've touched and I have swiped every single laptop on display at Best Buy and the Toshiba is the only track pad that feels rough to the touch. Because of this rough feel I have opted to use a mouse and that greatly reduces portability for me. Yes you can drag a mouse around but...  The keyboard and track pad are the true primary human interfaces with any laptop. If these components are lacking it reflects on the entire device and user experience. For this reason alone I deducted 1.5 stars. Also, the fit of the case is needing attention due to a bit of overhang of the top that creates a somewhat sharp edge, especially on the right [side of my laptop]. This poor fit makes the laptop feel cheaply constructed. Because a very well manufactured case adds to the cost I deducted only .5 star.

Overall a very good Chromebook that I can recommend to anyone seeking a lower cost alternative to Mac's or Wintel laptops as long as they can live with a sandpaper-like track pad and less than excellent fit and finish. The star rating can be somewhat misleading. My thought is that it is actually more than OK but the track pad always leave me wondering if I would enjoy a different model Chromebook more if my fingers did not go numb each time it's used.

Updated on July 19, 2016 jqr",3,True,"06 26, 2016"
Thomas E Wright,"This power strip is beautiful with the bright, shiny steel. Installed easily, looks good, works perfectly.",5,True,"07 12, 2015"
T. Richards,"Mount works great and is able to fit on a 2x4 wood that was hung horizontally in order to accommodate a low profile thin TV mount like this one.

One star off because it took me a three shipments to get all hardware shipped to me. The first shipment was missing the hardware kit, the second shipment did not contain the correct hardware kit, and third finally included everything.",4,True,"12 30, 2015"
WILLIAM M HOLMES,good product,5,True,"02 4, 2016"
merrillyn,"my daughter was using this
scullcandy bluetooth Wireless I was so happy when I was able to order one for me.good sound, very comfortable,",5,True,"04 4, 2017"
thered9,perfect for on the go when your battery ran down!!!  A must for teenagers and Moms.  I love it so much.,5,True,"10 3, 2013"
Jake,I've been using this for several months now and I'm very happy I got it.  It works very well.  It's easy to set up.  The price is great.  I've also been in several crashes on my bike and this mount has been fine.  I'd definitely buy it again.,5,True,"02 1, 2018"
Jacqueline Sanders,"Smaller than other one I ordered, I'm fairly certain this is same company, so it seems odd to me. Seems like good quality, solid. Will update in near future",4,True,"12 13, 2014"
Braden D.,"It works very well, I always expect a solid product from Anker, and they have yet to disappoint.",5,True,"01 3, 2018"
Amazon Customer,This modem was $13 shipped for a used one. The cable company charges $5 a month to rent from them. This one works great. Do the math.,5,True,"02 13, 2014"
Mortisha,When the family is in the kitchen playing cards or board games I throw these on!! I have not experienced and echo.,5,True,"06 13, 2014"
Robert,Works as described,5,True,"01 22, 2017"
Dustin Graffa,"DSLR CAMERA USERS: Most people just want the best, fastest, newest of everything, but when it comes to sd cards, there's a good chance what you're using them with can't even utilize all the card has to offer if your going after the latest and greatest. This card actually out performs my 90mbs cards, including the sandisk extreme pro card that I have. I shoot a Canon 70d and this card is more than fine.",5,True,"01 1, 2016"
Mike,"Love these. They're a bit taller than I expected them to be, but that was my fault for not reading about the measurements. These speakers are still being broken in, but the sound is great, and they look awesome with my setup. I'm very glad that I went with these.",5,True,"08 30, 2015"
Priyatham Kallaguntla,It does not fit properly and the sides of the boselink gets scratch. Also the charger doesn't fit properly. I would not recommend it to others.,1,True,"04 28, 2015"
Xavier Langham,works as intended that's really all i can say no complaints from me,5,True,"04 18, 2016"
Baseman,"Sonos enough said!! super clear, super powerful couldn't i have 3 Play 5's, 2 Play 1's, a Sub and Play bar.  and i think this is better than the first gen Play 5.",5,True,"03 25, 2016"
zoncustomer,i received the cable quickly  it works great and much cheaper than some of the stores where i live.  ordered the 15 foot one so i could sit in chair and use the computer .,5,False,"12 21, 2013"
Donali Peter,"I had purchased a different keyboard for my MeMo, but unfortunately it runs off of USB power, which the MeMo does not supply, at least not in its unrooted state.  This keyboard has its own chargeable battery, and works perfectly with my MeMo.",5,True,"08 19, 2014"
Matthew,"I have an led monitor on this arm that doesn't weigh much. If I don't move the arm just so, the whole monitor tilts to the left. Infuriating! With effort I can get the whole thing level again (I actually keep a small level near the monitor now). However, it makes me not want to move the monitor. Mostly I just don't move it anymore except by accident.

BTW I mounted this level.

Still, I gave it 4 stars because it is cheap and works well enough. Also, many people probably don't need/want to move their monitor once it is in place.",4,True,"07 9, 2014"
Mark,I can't beat the price of these filters anywhere. They work well. My main purpose is to protect my lens.,5,True,"12 22, 2012"
James W. Studer,grea product,5,True,"07 24, 2014"
doglick,"The quality is good but the camera isn't that great. Video is poor. Stills are good enough.
Overall I'm happy with thus scope.",4,True,"05 24, 2016"
Pirate_Joke,"A bit small, but well made. Audio quality is good. All of the AmazonBasics products are good quality for their price, this is no different.",4,True,"05 15, 2016"
Charger IT,good,4,True,"01 5, 2015"
Lea Avroch,Love my P-Touch! These ribbons are the perfect size.,5,True,"04 17, 2015"
Mickey71,"I bought this at a local retail store and really liked it.  The problem was, that when I opened the package, the repair fluid had leaked into the accessory area in the back of the unit.  The repair fluid tube appeared to be sealed, but it came right out of the bottom of the tube where it is supposed to be crimped and sealed.  I was worried that the fluid leaked inside the unit and might have damaged the motor.  I decided to give it a try and see how I liked it before exchanging the unit.  It worked VERY well, so I took it back to the store and exchanged it for another unit.  When I got home and opened the package, I found the exact same problem with the repair fluid.  Soooo, back to the store I went, although this time, I insisted that the store open the package before I left.  They again found the exact same problem with the repair fluid tube.  After having tried 3 packages of the same model, I gave up and decided to exchange it for a different brand.  I don't remember the name of the second brand, but it only cleaned 3 discs before I hear an awful sound and the unit stopped spinning the disc.  It spun fine as long as there wasn't a disc in the unit, but when I added a disc, it made terrible noises.  So I returned that one as well and finally tried the Memorex OptiFixPro.  In my opinion, the Memorex doesn't do anything to really fix discs at all;  it just cleans them.  I will be returning the Memorex unit and I will call Maxell Customer Service to see if they can do anything to ensure I get a unit that doesn't have the leakage problem.

To summarize, I have now tried 3 different brands of disc repair kits and this one does the best job of repairing discs.  Also, I liked that the unit allowed me to clean one disc on one side of the unit while simultaneously repairing a second disc on the opposite side.  I have not found any other repair kit that allows two discs at once.  However, I think that Maxell had some quality control issues or manufacturing issues that allowed these units to be sent out with leaking repair fluid tubes, so I would definitely recommend that you only but this unit from a respectable retailer that allows exchange or refund without hassles in case you encounter this same problem (and be aware that with some retailers, you may need to pay shipping charges to send the unit back for exchange).",4,False,"12 2, 2007"
P. Goddard,After a short time approximately 1/3 of the screen is filled with random lines.  Very poor quality.  There must be better options.  I am profoundly disappointed with this purchase.,1,True,"04 20, 2012"
Richard George,We're using this with 2 4TB drives. Works great.,5,True,"01 25, 2017"
LeiSina,Great! Thanks again,5,True,"12 11, 2015"
Mike Perkins,"Adapter did not fit my headphone 1/4"" end snug! There is spacing between the adapter and my 1/4"" plug which allows for the connection to be shorted out! Not good!",1,True,"11 11, 2015"
ds0ocx,"This is a grim little device to set up. The GUI is primitive so the CLI has to be used to customize your settings. The default settings work well but I needed more flexability than those settings offered. There is a steep learning curve for the CLI on this beast and a thick
in depth manual to go along with it.",2,True,"02 17, 2014"
V. nicholas,"i work on a talk show at a radio station, so sound is a huge thing for me. i have this mp3 playa always plugged into my tv. its super easy. they give u a cable. one end goes into the tv's headphone port, and the other end goes into the bottom of the mp3 player. its decent quality and just an all around easy, quick process to turn tv sound into mp3s.

one option i turned off was ""sync track"". sync track basically starts recording when an audio signal comes down the line. but the downside is that a lot of time youll miss the first second or two of the audio you want, especially when its the transition b/w the end of a commercial and the beginning of the program and theres black screen and dead silence for a few seconds. and line sync cuts off recording when the audio signal ends. so if you're like me, and you're rewinding and fast forwarding your tivo around like crazy getting to the right spot, you're gonna have about 20 2 or 3 second long mp3s when u finally are ready to edit. put it simply, its a big pain, so just turn sync track OFF.

ive had this for about 6 months. i get tons of audio from it. i pull sound from 60 minutes, saturday night live, the office, letterman. i could grab something from a dvd i suppose, but i haven't tried that yet. the quality isn't top notch, but it is coming out of the headphone jack and i do have an on-the-cheap-side 20 inch lcd tv. but it does a great job for what i need, and i have no complaints.",5,True,"12 7, 2006"
paul stanley,You can not go wrong with this dual bay rez. The quality is unsurpassed. I would like to see an in-out marking on the fittings.,5,True,"05 25, 2017"
cheryljp,Had to return it because there cables that came with it did not fit my two-year old Dell computer and I couldn't find cables that would connect the two.,1,True,"04 15, 2018"
@#$%,"The cable looks and works good. I like the wire brace, it keeps the cable from crinkling.",5,True,"09 19, 2017"
David,The product worked as advertised.,4,True,"08 17, 2014"
Speedy,"I have struggled with using this card in both cameras and computers. It has been slow to write in all applications. I contacted SanDisk technical support and was asked to run an application that measured average transfer speed. It was shown as 9MB/s for writes. They claim that this is normal and would not do anything more. A class 10 card should have a minimum streaming speed of 10MB/s.
I have purchased similar cards from Lexar without writing issue.

So don't buy anything from SanDisk or suffer the consequences. You have been advised!",1,True,"01 19, 2015"
Jon Cerruti,had to return it,1,True,"03 1, 2015"
Sphoto,"This is by far the best router for what it offers. If you want complete control over your home network this is your router. It lost a star because I could not get the USB storage to work. I formatted my external hdd in just about every format, but the router is unable to mount the drive. From what I read this is a pretty common problem.
UPDATE: I have literally formatted over 5 external hdd and I can not get one to mount successfully. Really disappointed.",4,True,"09 28, 2015"
STI,"UPDATE 2016: I am still using this bag and it is still great! You can barely see any wear and tear. I have the 202 model also that is a year younger than this one - still holding up well also. These are inexpensive and durable bags.

This is a well constructed and very good case.  It could have a better area on the side to attach a separate lens case similar to the Lowepro. If you want a bag to carry an SLR with a zoom lens or smaller this will work perfectly. Using a Canon T1i with a 55 - 250 lens fits perfectly - small lens hood makes it tight, but it fits. Quality construction, only wish it had attachable lens holders for the side and it would be perfect. Love the thick rubber bottom. Easy to carry and access the camera (for an amateur photographer)",4,False,"08 28, 2010"
Crista Ellis,This sleeve really looks and feels like it will protect my (very) expensive MacBook. It hugs my MacBook snugly. I am appreciative of the pocket to place my mouse and charger in. So glad I can fit it all in one bag for ease of transfer. I am certain this will protect my laptop greatly.,5,True,"03 8, 2017"
Cococay,This is a great alternative to adt,5,True,"06 8, 2015"
Janet,"I am surprised how well this works !  It is so tiny, I was skeptical.  Our modem is on the main floor and I have a desktop
upstairs that was barely (if I could get it at all ) getting the internet.  I plugged this little receiver into the USB and put the DVD disc into my drive to setup and load the drivers.

It made a huge difference for me ....the internet is now fast and reliable....and it was so easy to do.
I am impressed.",5,True,"03 3, 2016"
Andre Viens,"I bought this because my cable TV connection was on the other side of the room from where I had the TV. As a temporary solution, I ran a long coax wire around and up over door thresholds to get the connection to the TV. Then I heard about these HDMI wireless transmitters and receivers and wanted to give it a shot. This has exceeded my expectations for ease of use! I just literally plugged it in per the instructions and it worked. No problems, no issues. I'm able to use the IR blaster at the transmitter side to echo everything received from the TV.

Only minor negative is that when you first turn the cable box or TV on, it takes a little bit of time to sync up and start receiving video (perhaps five seconds or so).

This would be most ideal for people who mount their TV over their fireplace or some place out in the open but don't know what to do with all their TV equipment (cable box, DVD player, AV receiver, etc).",5,True,"10 2, 2016"
