reviewerName,reviewText,overall,verified,reviewTime
Luis V.,"Very reliable. I have a system consisting in 24 Hard Drives, and they seldom fail. Great product for when you need secuity.",5,True,"02 9, 2014"
Dale Dean,I love how this extended the life of the GoPro so much.  This purchase was so worth it!,5,True,"12 16, 2015"
VP,"Not much to expect at less than $2 but at least I expected the product to match the ""gold plated"" description, mine is not!",1,True,"11 16, 2014"
sangel7312,A+,5,True,"05 31, 2016"
lawrence m taylor,"The speakers are pretty bad at higher volumes, but otherwise the picture is reasonable.",4,True,"05 17, 2015"
BoriTechPower,Great Item!!!!!,5,True,"12 13, 2016"
Timmy Kicks,"these are great, looking forward to ordering more for the office. easy to cut and look GREAT- the adhesive is really great too. VERY happy with this purchase and the wire management they provide.

Cons. It's not really the products fault.. but keep in mind that it's small (in order to look slim and good) - you can fit 4 chords in there (smaller ones) maybe 5 if you really squeeze it..

pros. what was mentioned above - awesome durable quality.. looks GREAT installed.. and easy to work with.
buying more for sure!",5,True,"11 3, 2013"
Oldretiree,I bought this item to use with a Lifespan Treadmill so I could synch exercises.  Thus I take it back and forth between computer and treadmill daily.  The outside casing that rotates to protect the USB connector is very nice.  The Flash Drive works perfect.,5,True,"03 3, 2014"
Thomas Simmons,"This is my first enclosure so can't compare to other brands.
Easily holds my Samsung SBC-200 camera and since the camera position is adjustable inside the case there
isn't vignetting of the image when using a 4MM lens. Heating wasn't as much of an issue as the cooling (I'm in Tucson)

As far as weather sealing the camera. If I added weather stripping or silicone, then I would also impeed the cooling
function of this case, as there is no separate fan exhaust except through the gap between the top and bottom halves.
Maybe there are other housings that have a louvered back plate?",5,True,"02 21, 2013"
Rufus M,The company contacted me after seeing this review and are offering a generous solution to the issue outside of the product warranty. I am very thankful for that!  The design on these is very good. The sound - when working - is great. I give the company credit for actually caring and that's what customers like me value.,4,True,"08 5, 2015"
BigMan,you can use this a 4GB video card and it works fine even after overclocking the CPU.,5,True,"09 14, 2015"
AntMont,"Does the job. Nothing special, which is great for this type of item.",5,True,"02 7, 2015"
Kevin C.,This is an outstanding tripod at a very good price! Thank you!,5,True,"12 4, 2015"
G. Grant,"I used this battery in both my Alpha 700 and Alpha a77.. Works fine... Lasted all day...Shows amount of charge remaining... Though the A700 would show 58% remaining and the A77 two minutes later would show 51% remaining..

Works fine and is an excellent product for the money",5,True,"12 31, 2011"
Magic Karp,Works great. No problems noticed several weeks after installation.,5,True,"02 8, 2016"
K. Criswell,This is my 2nd set of Dual Sonic Speakers. The 1st purchase was for my daughter's college dorm for use with her MacBook Pro. She loved the speakers so much I purchased another set my my wife as a gift. She loves the lights and premium sound. Fits nicely on her desk. Quality buy for great price. I recommend this product,5,False,"10 8, 2015"
humam,Cant beat the price and the quality is very good. I will buy more. Never had any problems.,5,True,"10 1, 2017"
LeeRoy,"This is my first CB radio so take my comments with a bit of inexperience.

The knobs feel sturdy, the buttons feel sturdy,

The good:
Looks
Sturdy
Changes color
Comes with mount bracket, and mic holder

Cons/other
The SWR meter that is built in, I don't know how close to being right it is... when I first tested without trimming the antenna it was high, over two on some channels. I pulled it out around 1/4 inch, and now its basically perfect 1:1 on every channel, with a very small variation sometimes like 1.1.

I needed a radio that looked modern and would assist me in interstate travels, this has already proven itself.

UPDATE: 10 months of use
I have been using the BC daily for the last 10 months, first with a little wilson antenna which did a nice job, but I moved up to a Wilson 1000 which does a better job.
The radio still works great, everything still works and I have not had an issue with it, no do I have any complaints (this is a big deal).

I did send my Bearcat in to be ""peaked and tuned"" and is now swinging 30 watts on the bird meter with a 6 watt dead key. It has continued to work fantastic with daily use and has not failed me. I wish I could nit pick and find something that annoys me in daily use but I can't think of any.

Unimportant cons
LCD viewing angle is not friendly if mounted on the side of the center console.... but again there is little to no reason to ever look at it, you can see it fine at night also.
The beep when you turn the knob, again this only happens if you turn a knob or hit a button (the volume knob and squelch DO NOT beep). I rarely change channels, and the only time I hear the beep is if I change from day to night. It's really not annoying.

Random pros
The mic sounds good for stock, have had no complaints.",5,True,"08 25, 2012"
Amira,"I am really happy with this bluetooth case. I have had it for a few weeks now. The keyboard paired quickly with my kindle. There is a light that glows when charging the keyboard. I agree with some other reviewers that if you type fast on a normal keyboard, you may be put off by how these keys are not spaced far apart, but I am ok with it because I really prefer a physical keyboard as opposed to a virtual keyboard. I figure unless you are super fast at swype, you probably will type on this keyboard at about the same speed as if you used swype on the touch screen of your kindle. I don't use my kindle every day, but I have not had any problems with my kindle and the keyboard connecting. The kickstand is very sturdy. It can seems a little rigid when trying to fold down, but if you are careful with it, and not beat it down, it should last. I bought a micro usb adapter, and connected a wireless mouse to the kindle where the charging port is, so I was able to turn this into a mini pc. When closing the case, I have wondered if the keys would scratch the screen on the kindle. It hasn't done so, but I placed a micro fiber cloth on the screen just in case. I did buy a screen protector for the kindle, but haven't used it yet.",5,True,"05 15, 2015"
Bigger Jake,Fits the 2015 Kindle Paperwhite great. Looks good (if you like pink). The turn on feature by opening the front works well. This Kindle was for my wife. I purchased another brand case for my Kindle and have to open/close the front several times to turn it on.,5,True,"04 25, 2016"
SHAW,love it very practical,5,True,"04 2, 2018"
P. Sroka,"Buy it plug it use it.
I really like it and recommend.
Also check [...]
They will explain how to change WMLS into a space ship.",5,True,"03 16, 2009"
J.Wainscott,"Tons of reviews already out there, I would only like to add a couple things. First, mine arrived with some trash inside the LCD display. There is no way to remove it, aside from tearing the entire controller apart, so I live with it being there. Second, after months of use the keys have begun to squeak when pressed. Not all of them, and not all the time, but when using it for editing it is noticeably. When wearing headphones gaming I never hear it and its not an issue. No regrets in buying, and would recommend to anyone that edits or games.",4,True,"02 14, 2018"
Customer,it looks WAY better in pictures. I wish I would have got the white marble. The gold comes off as more of a green and it looks like camo rather than marble. Kind of disappointed in this purchase but I won't bother returning.,3,True,"10 3, 2016"
Robert S.,"Everything you need is in there, the directions were great, couldn't have been simpler unless someone else did it for me.",5,True,"01 24, 2013"
Robert G,"Regardless of some of the reviews I've read here, this NAS device works excellently with Apple's Time Machine backup software. I attached this product to a new Portal router using the Cat-5 cable provide. I opened Time Machine on my Macbook Pro and it immediately found the backup disk and started a backup. No problems whatsoever. I am quite satisfied. I bought the Portal router and this Western Digital My Cloud 3TB Network Attached Storage device to replace an aging Apple Time Capsule. I am very pleased with these purchases.

<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/WD-3TB-My-Cloud-Personal-Network-Attached-Storage-NAS-WDBCTL0030HWT-NESN/dp/B00EVVGAC6/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">WD 3TB My Cloud Personal Network Attached Storage - NAS - WDBCTL0030HWT-NESN</a>",5,True,"12 2, 2016"
Androo,"These speakers get such rave reviews wherever you look that you'll expect them to be pretty amazing.

In many ways they are. They look amazing, for a start, all transparent and space age, and nicely built. The satellites look particularly good, and you can angle them easily. It's odd that the little blue globules inside the satellites don't light up like the ones in the subwoofer though.

The subwoofer is too good-looking to be hidden under a desk, but that's where the instructions recommend you put it.

There are rather a lot of wires: one for the power cord, one to your computer, another to the satellite connector, and then cables from that to the satellites themselves.

But it all worked once I plugged it in, and my immediate feeling was disappointment. I thought they sounded quite ragged. But... taking note of something I read, I let them play to themselves for a few hours. I also fiddled a lot with the volume controls (a knob on the subwoofer and a pair of annoying touch sensors on the base of one of the satellites).

Turn the volume on the sub above about ten percent and you get lots of bass, but none of it very nice. The resonances drown out bits of the music and sound awful. This may vary depending on your room and particularly your floor of course.

I'm used to a carefully set up, neutral-sounding hi-fi separates system. Some people suggest these speakers sound as good as a hi-fi - they don't. Nowhere near.

But once I'd set the sub and satellite volumes to my liking (the sub volume way, way down) they sounded pretty good.

Vocals are projected very strongly by the four drivers in the satellites, and for a lot of music this is quite a good thing. With the bass turned down, the sound is solid and focussed, and you're not too aware of the gap in the mid range. You do have to crank up the volume to get them to sound good though. At lower volumes they are quite weak. I suppose you could up the sub volume to compensate, but you really won't want to be crawling under your desk to do this all the time.

The last thing to mention is that the position and angle of the satellites is annoyingly critical. Even leaning to one side in your chair spoils the effect somewhat.

I'm not sure I totally recommend them, but they're not bad, and sometimes they're great. Because they're self powered, you can always take them elsewhere with your iPod so that adds versatility.

Try to listen before you buy.",4,False,"01 18, 2006"
Kiyo M.,"Update 2:

Seems to be working again. I appreciate customer service that is prompt at communicating with customers!

Update:

After about a month, I'm not sure if I got a faulty one or started to fail, but it keeps disconnecting the signal... it's really annoying.

It works exactly like it's supposed to: it converts a Display Port to allow HDMI.

My GTX 660 Graphics card has two DVIs, a HDMI, and a Display Port. Most things are HDMI than Display Ports; getting this adapter was the solution to be able to connect a fourth monitor to my graphics card, making use of that DisplayPort and not collect dust.",4,True,"10 3, 2015"
Dominique,This is an excellent low price case.  I've used it for 6 months with no issues for running and gym time. I am on here to buy a second one because I was careless and clipped this to a thick uneven sweater while playing poker for 6 hours.  The clip will last if you are just using it for your normal workout gear but be careful if you're trying to use it on anything that's more than 3 under armour layers thick.  I think this is an overall great case.  Nothing lasts forever but this does a good job protecting the iPod.,4,True,"12 21, 2013"
donna,very sturdy stencils....  i woiuld purchase again if these wear out.,5,True,"08 10, 2015"
Fred,"I honestly can't say one good thing about this router.  Thinking about using it outdoors as a Christmas light with its nice blinking leds

I replaced a TP Link AC1900, which I thought was having some problems but have since determined were caused by my isp.  The net of this change is my network is less stable and requires regular reboots.  In addition my maximum router speed is now 54 mbps vs 300 with my former router.  The ping rate on my network  is down slightly.  My cell phone, laptops, vcr's, kindle devices and amazon Echo all disconnect from the internet with this new router.  I have to reboot the router fairly regularly and usually they reconnect.",3,True,"12 16, 2017"
J Charles,Works very good for me.. Solved my low signal problems without over driving everything.,4,True,"07 22, 2016"
Shaun F.,Great for my IPad and small books. I would recommend it.,4,True,"10 19, 2015"
Kat,This product arrived in 3 days.  I've used it to move files from one computer to a new one and to load old programs onto new computer.  Works just fine.  Quick and no problems with it showing up as a drive on either computer.,5,True,"08 31, 2008"
Alco933,"I give the camera 3 stars but i give the software and web gui 2 stars. I have written my own surveillance cam softawre so I know this area pretty well.
The cam is good, clear, and I like the pan tilt. The angle is quite narrow so if you put it on your front porch you can't get a very good wide angle shot. Like in front of your door or them coming up to the door from 20 feet away but not both.
The web interaction is good.
The software is horrendous.
The settings are in about 4 different places and its hard to remember where I saw a particular setting every time i want to change one. Some are different in the web ui wich makes it even harder.
One big feature I am missing is some way for it to track movement with the pan/tilt when motion triggers an alarm. It does have programmable ""cruise"" and it does have a go to a predefined position after an alarm but then it stays there and there is no way to reset it automatically.
Likewise with uploading to a web site, you don't have much flexibility with that and the description of the upload settings is very confusing and scattered through out the software.
I am still getting pictures with incorrect times and not sure why even though it is supposedly synced to my computer.
I like the sound and motion detection capabilities but wish i had more options on what to do during motion detection like how long the video should record, or how many pictures to take, or the interval. There is some of that but very limited.
The night vision LED being on all the time makes the colors during the day look washed out. It should turn off in daylight ideally.
Every time it starts up it goes to 16 window view and i have to change it to 1 window view.
Its ok.",3,False,"07 27, 2012"
James L. Delahunt,good value for money easy to install on 520. would buy again but phone will obsolete before i use 6 screen protectors,5,True,"09 14, 2013"
Jose A Sanchez,Good,5,True,"04 13, 2015"
James M. Aaron,They work like they are suppose to.,5,True,"04 25, 2016"
M Baligh,"Very misleading. I thought I was buying a keyboard, but instead, I am buying a stick. I NEED MY MONEY BACK!",1,True,"08 31, 2016"
Garry M.,Works !,5,True,"12 3, 2015"
nonetaken,Logitech M325 wireless mouse review. Best working wireless mouse I've owned. Good for left handed individuals. Going on almost 4 years of continuous use and has never failed other than batteries. Sensitive to hand and finger movements and very accurate. The dual function scroll button is very handy. This mouse has been transferred around to 4 laptops and desktops as my favorite. I recommend it.,5,False,"09 30, 2015"
Acr,Works great.  I unplug it when not in use.,4,True,"01 21, 2017"
Doug,They click tightly into place and don't impede charging speed. Length is great too. It'd be nice if the cords were more flexible but I think that's just from being high speed cables. I'd rather them work well then look good.,5,False,"06 16, 2015"
Stephanie A.,"Used for under a month, and there are holes worn into the bottom already.  The padding is minimal, and the fit is too large for a 15"" macbook - since there's no rigidity to the fabric, it just poofed out and looked funny.  I really like the padding on the strap - it's comfortable and grippy.  I thought the plastic buckles on the strap woudl be the point of failure, but looks like the bottom is wearing out first.",2,True,"07 7, 2016"
SerialReviewer,It works for real. I have a small G-Tech.,5,True,"01 2, 2016"
Amazon Shopper,So far so good. Works great with my Synology DS 1815+. Supports LACP / Link Aggregation. Not too difficult to set up. Just looked through the menus and googled whatever I wanted to do that I couldn't figure out on my own. This is version 2 (v2). Easy to tell the difference based on photos of version 1 vs version 2.,5,True,"04 23, 2015"
Tyler S,"Purchased this to go along with a ""TeckNet C015 Webcam Camera, 5 MegaPixel, Built-in Microphone 5G Lens
We're currently processing your review and we will email you"" for a livingroom computer set-up for skyping family.",4,True,"09 30, 2015"
JW,"We're an iPad family.  Have these things sitting all over our house.  At least one in each room.  They are extremely handy to easily put your iPad into reading,  or video watching mode.",5,True,"05 21, 2016"
Customer,Love these mice.  Only problem is recent models have an unbalanced wheel and will coast unexpectedly when in free wheel mode.  Battery life is great.,4,True,"09 17, 2017"
Mushjet,Excellent product.,5,True,"07 7, 2014"
J. Massey,"Things to think about when getting headphones/earbuds:

A great review from a traveler who is a headphone stickler.

Short:

Pros: They sound great with good bass.

Cons: If you sing to yourself, phones that plug into your ears are not for you. The cord is very short- too short for me - at 5'8"".

Things to think about when getting headphones/earbuds:

If you want headphones to wear with a collared shirt:

1) You need headphones that are not connected. I founf the Nike Flight headphones to the best. I love them - great bass, cool looking, incognito, etc; but, the two ear pieces are connected by a behind the head band. If wearing a T-shirt, this is great. If wearing a collared shirt at the airport, everytime you turn your head, the rear band hits your collar and knocks the headphones off of your ears.

If you want to sing to yourself while wearing headphones/earbuds:

1) Don't buy in the ear type or ""plug type"" earbuds. They plug your ear and when you sing - it sounds like you are singing through your ears. Put your fingers all the way in your ears and sing and you will know what I mean. It takes all the fun out of singing as loud as you can in the rental car in the middle of podunt ohio.

If you wear headphone inside your shirt so they aren't seen.

1) When I travel, I put the headphones on inside my shirt, I string it down the onside of my shirt, up out of my pants, under my belt, and into my pocket where my ipod lives. The problem comes when the unit has a 1 meter cord. The 1 meter cord is too short by about 6"". I am 5'8"".",4,False,"02 5, 2006"
Fiona&#039;s Fancy,great product,5,True,"08 14, 2016"
Superman,good,3,True,"07 27, 2015"
MaverickRonin,Hooked it up between my printer and my PC and printed about 700 pages with it.  Works fine.  Not as quite as cheep as monoprice but the super saver shipping will make up for that if you're ordering more stuff.,5,True,"09 28, 2009"
C. Enlow,"While I didn't buy them from Amazon, we HAD 3 of these in our office for a time.  All experienced HD failures in less than a year, ran PAINFULLY SLOW for their specs and had constant problems, I removed them all from service.  30 year Unix/linux/dos/windows guy here, you don't want one of these.",2,False,"03 21, 2017"
Rico6113,Love it.  Lets see how it holds up to my abuse,5,True,"04 17, 2017"
Jakes buddy.,"Takes a long time to change from one channel to the next but for the price and quality I can live with it.  Fit's great in our camper, the perfect size.",4,True,"07 13, 2010"
seth,best for the price,5,True,"06 14, 2016"
bestbuyer,Looks like this is going to be a great item to use.,5,True,"12 3, 2016"
Nicholas M.,Love them.,5,True,"12 6, 2015"
saul,excellent,5,True,"05 19, 2017"
MDEMAR,great with my 4k monitor & 3d monitor and great price,5,True,"09 9, 2014"
Ronald E. Rebecca,"Ordered this head phones for my Granddaughter for Christmas. She really loved it, Ontop of that she is able to still use her phone to answer it & talk on it at the same time.",5,True,"01 9, 2015"
bpperdue,Little difficult to get bigger cables through like vga/dvi but works very well.,4,True,"07 24, 2014"
john,as described great product,5,True,"05 17, 2017"
Stan57,"Great lens for portraits and filming videos of interviews.  I went with the 1.8 since it actually got slightly better Amazon reviews over the 1.4 yet costs about half as much.  This lens is reasonably ""fast"" so you can have background blur to draw attention to your subject.  The lens is small and light--easily fits into a camera bag to take with you. The price is reasonable for Nikon quality.",5,True,"01 14, 2017"
Keeta,Excellent cable product.,5,True,"11 20, 2016"
Joseph K. Watts,Worked perfectly on 2003 Honda CR-V.,5,True,"04 29, 2016"
concept3,Durable and affordable. The best value period. The plastic keyboard cover is fantastic. The gaps in a mac's keyboard seem to let lots and lots of dirt in.,5,True,"11 13, 2013"
tmoody,"Great product for the price! So far, has lasted quite awhile through a lot of clones. For repetitive and professional use, would recommend a higher end, but thinking about getting a few more of these for the price, and just taxing them out. The StarTech IDE caddy is a must for this if you're cloning a lot.",4,True,"10 21, 2012"
Kindle Customer,"This is a superlative finder scope.  It is eminently easy to mount and align to your scope.  I love, love it.  Oftentimes you buy a telescope and they come equipped with these worthless, plastic finders that are simply a headache and leave you frustrated. This is what you buy when that happens to you.",5,True,"12 2, 2016"
Muggsly,This product is cheap and I mean very cheap in both price and quality.  It has a single fan that is exposed on the bottom and gives adequate cooling.  The plastic is flimsy and actually bows under the weight of my asus router for which I purchased this product to cool.  I use it to cool my router since it tended to run a bit hot and has no active cooling and for that job it works fine.  If you have something small that you need to cool that can be powered by USB and you want the cheapest cooler you can find then this works wonders.  I would not use this for a notebook or netbook since I would be afraid it would buckle under the weight but for a tiny router it works fine.  Gave it 4 stars since it is $3 and worth about that.,4,True,"12 28, 2012"
E. Lach,It works with apples and at times has a very slight delay between the keystroke and the response on the computer but most of the time it's spot on.,4,True,"02 20, 2016"
Babushka,Good case.,5,True,"05 12, 2016"
Nick,"..they didn't illustrate the fact that there's a volt wire used to charge it.. i saw no wires, so i purchased it thinking that it runs on batteries...they should put its form of charge in the description....otherthan this little issue, it's one of the best alarm clocks i've ever owned.",1,True,"06 24, 2011"
stsscott,Defective,3,True,"12 31, 2015"
Samuel Dean Jr,this is a defective item poor quality....,1,True,"03 21, 2016"
Maverick One,The USB extension cable worked very well for me.  I needed to make a connection that was a bit longer than the current cable allowed.,5,True,"02 23, 2014"
"Feel The Need, To Read!",This Ultra Clarity cable is one of the best cables I've ever used. I have bought 100's over the past few years for network installs and this cable had excellent construction and the signal analysis results were absolutely top-tier using Intel and Cisco HW analyzers.,5,True,"08 5, 2016"
